tab	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	specimen_name	volume	weight
	This study																LP-NOMAG		CF-1a		CF-1a			
	This study																LP-NOMAG		CF-2a		CF-2a			
	This study																LP-NOMAG		CF-3a		CF-3a			
	This study																LP-NOMAG		CF-4a		CF-4a			
	This study																LP-NOMAG		CF-5a		CF-5a			
	This study																LP-NOMAG		CF-6a		CF-6a			
	This study																LP-NOMAG		CF-7a		CF-7a			
	This study																LP-NOMAG		CF-8a		CF-8a			
	This study																LP-NOMAG		CF-9a		CF-9a			
	This study																LP-NOMAG		CF-10a		CF-10a			
	This study																LP-NOMAG		CF-11a		CF-11a			
	This study																LP-NOMAG		CF-12a		CF-12a			
	This study																LP-NOMAG		CF-13a		CF-13a			
	This study																LP-NOMAG		CF-14a		CF-14a			
	This study																LP-NOMAG		CF-15a		CF-15a			
	This study																LP-NOMAG		CF-16a		CF-16a			
	This study																LP-NOMAG		CF-17a		CF-17a			
	This study																LP-NOMAG		CF-18a		CF-18a			
	This study																LP-NOMAG		CF-19a		CF-19a			
	This study																LP-NOMAG		CF-20a		CF-20a			
	This study																LP-NOMAG		CF-21a		CF-21a			
	This study																LP-NOMAG		CF-22a		CF-22a			
	This study																LP-NOMAG		CF-23a		CF-23a			
	This study																LP-NOMAG		CF-24a		CF-24a			
	This study																LP-NOMAG		CF-25a		CF-25a			
	This study																LP-NOMAG		CF-26a		CF-26a			
	This study																LP-NOMAG		CF-27a		CF-27a			
	This study																LP-NOMAG		CF-28a		CF-28a			
	This study																LP-NOMAG		CF-29a		CF-29a			
	This study																LP-NOMAG		CF-30a		CF-30a			
	This study																LP-NOMAG		CF-31a		CF-31a			
	This study																LP-NOMAG		CF-33a		CF-33a			
	This study																LP-NOMAG		CF-35a		CF-35a			
	This study																LP-NOMAG		CF-36a		CF-36a			
	This study																LP-NOMAG		CF-37a		CF-37a			
	This study																LP-NOMAG		CF-38a		CF-38a			
	This study																LP-NOMAG		CF-39a		CF-39a			
	This study																LP-NOMAG		CF-40a		CF-40a			
	This study																LP-NOMAG		CF-41a		CF-41a			
	This study																LP-NOMAG		CF-43a		CF-43a			
	This study																LP-NOMAG		CF-44a		CF-44a			
	This study																LP-NOMAG		CF-45a		CF-45a			
	This study																LP-NOMAG		CF-46a		CF-46a			
	This study																LP-NOMAG		CF-47a		CF-47a			
	This study																LP-NOMAG		CF-48a		CF-48a			
	This study																LP-NOMAG		CF-49a		CF-49a			
	This study																LP-NOMAG		CF-50a		CF-50a			
	This study																LP-NOMAG		CF-51a		CF-51a			
	This study																LP-NOMAG		CF-52a		CF-52a			
	This study																LP-NOMAG		CF-53a		CF-53a			
	This study																LP-NOMAG		CF-54a		CF-54a			
	This study																LP-NOMAG		CF-56a		CF-56a			
	This study																LP-NOMAG		CF-57a		CF-57a			
	This study																LP-NOMAG		CF-58a		CF-58a			
	This study																LP-NOMAG		CF-59a		CF-59a			
	This study																LP-NOMAG		CF-60a		CF-60a			
	This study																LP-NOMAG		CF-61a		CF-61a			
	This study																LP-NOMAG		CF-62a		CF-62a			
	This study																LP-NOMAG		CF-63a		CF-63a			
	This study																LP-NOMAG		CF-64a		CF-64a			
	This study																LP-NOMAG		CF-65a		CF-65a			
	This study																LP-NOMAG		CF-66a		CF-66a			
	This study																LP-NOMAG		CF-67a		CF-67a			
	This study																LP-NOMAG		CF-68a		CF-68a			
	This study																LP-NOMAG		CF-69a		CF-69a			
	This study																LP-NOMAG		CF-70a		CF-70a			
	This study																LP-NOMAG		CF-71a		CF-71a			
	This study																LP-NOMAG		CF-72a		CF-72a			
	This study																LP-NOMAG		CF-73a		CF-73a			
